Facility_uid,Facility_name,Facility_uid,Level,Ownership,Authority,Coordinates,Subcounty_uid,Subcounty_name,District_uid,District_name,Region_uid,Region_name
YhPJwSvxDcC,Abedober HC III,YhPJwSvxDcC,HC III,Private Not For Profit,UCMB,"[32.8508,1.94593]",mhMXhrnEHGU,Abongomola Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
BRYcaY1oeHd,Abei HC II,BRYcaY1oeHd,HC II,Government,MOH,"[32.59793,1.68949]",s8bn45A31mu,Chawente Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
UiGav1NitiR,Abeko HC II GOVT,UiGav1NitiR,HC II,Government,MOH,"[33.53494,2.03051]",p1iOb5SBsBd,Ogolai Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
o7CJeTwDapk,Abeko HC II NGO,o7CJeTwDapk,HC II,Private Not For Profit,UPMB,"[33.53494,2.03051]",p1iOb5SBsBd,Ogolai Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
i783Z5CHxyj,Abela HC II,i783Z5CHxyj,HC II,Government,MOH,"[32.75053,2.59879]",BXgAR3Kq8kv,Aleka Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
A9Bt9vywHbP,Aber HC II,A9Bt9vywHbP,HC II,Government,MOH,"[32.386588,2.236962]",xuuOj2eAPqb,Aber Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
cDGKAJzfkpf,Aber Hospital,cDGKAJzfkpf,General Hospital,Private Not For Profit,,,HtZQp7J8zCH,Kamdini Subcountry,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
k6FJAEApm87,Aber Ngo HOSPITAL,k6FJAEApm87,General Hospital,Private Not For Profit,UCMB,"[32.34108,2.12815]",xuuOj2eAPqb,Aber Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
qvXqsKHH1LH,Abesiga Mukama  Domiciliary Maternity,qvXqsKHH1LH,Clinic,Private For Profit,Local Government,,NJBN4GJd1Q5,Mabaale Subcounty,orgY0d5MJa9,Kagadi District,auJdpeHbeet,Western Region
CXNSGgNcBpL,Abesiga Mukama HC II-NR,CXNSGgNcBpL,,,,,QRDEYBjoQkE,Ntenjeru Subcounty,a0DfYpC2Rwl,Mukono District,VA90IqaI4Ji,Central Region
ZubUtSX9erU,Abeso HC II,ZubUtSX9erU,HC II,Government,MOH,"[31.76547,3.65161]",aCaPqIkvV2s,Metu Subcounty,W0kQBddyGyh,Moyo District,pz9Uu65Irbg,Northern Region
KUFnXlL4bk3,Abi Clinic,KUFnXlL4bk3,Clinic,Private For Profit,,,LYuMx5oPsR5,Kawempe Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
aGfndLfPcOz,Abilonino HC II,aGfndLfPcOz,HC II,,,"[33.4388,2.87899]",qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
RxPKxSBe0DC,Abim HOSPITAL,RxPKxSBe0DC,General Hospital,Government,MOH,"[33.66236,2.67686]",SVXuVZuvsit,Abim Town Council,NREoMszwQZW,Abim District,pz9Uu65Irbg,Northern Region
ltIECAx2ppI,Abim Obolokome HC II,ltIECAx2ppI,HC II,Government,MOH,"[33.79094,2.58851]",YeM7sYuP1xa,Morulem Subcounty,NREoMszwQZW,Abim District,pz9Uu65Irbg,Northern Region
LvFBfRqhgKN,Abirabira HC II,LvFBfRqhgKN,HC II,Government,MOH,"[33.21273,1.70848]",R7ff2hyU6vl,Aperikira Subcounty,QoRZB7xc3j9,Kaberamaido District,adZ6T35ve4h,Eastern Region
RnXpcMWI5Zu,Abiriamajo HC II,RnXpcMWI5Zu,HC II,Government,MOH,"[31.29646,3.38005]",apKpog39DlX,Odravu Subcounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
YTBLK7mhWSM,Abison Medical Clinic-NR,YTBLK7mhWSM,,,,,byvlp3p7dsR,Ssabagabo-Makindye Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
UIhutvdIhqU,Aboke HC IV,UIhutvdIhqU,HC IV,Government,MOH,"[32.68130,2.35130]",XTljgoHlV32,Aboke Subcounty,Y4LV8xqkv6J,Kole District,pz9Uu65Irbg,Northern Region
mpqPtBSjAgz,Aboke Mission HC II,mpqPtBSjAgz,HC II,Private Not For Profit,UCMB,"[32.70663,2.37705]",XTljgoHlV32,Aboke Subcounty,Y4LV8xqkv6J,Kole District,pz9Uu65Irbg,Northern Region
stZgyEm9xer,Abongo HC II,stZgyEm9xer,HC II,Government,MOH,"[31.12852,2.29225]",afAjPIjW0D3,Erussi Subcounty,Xjc0LDFa5gW,Nebbi District,pz9Uu65Irbg,Northern Region
xzRSc5XHzys,Abongomola HC III,xzRSc5XHzys,HC III,Government,,"[32.83161,1.9996]",mhMXhrnEHGU,Abongomola Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
Wvs8OuhExJ6,Abu Health care HC II,Wvs8OuhExJ6,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
aqHJ5aiyFcL,Abundant Grace Clinic,aqHJ5aiyFcL,Clinic,Private For Profit,Local Government,,TMJdZnNOFfa,Katabi Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
IEE9hzN2EFC,Abundant Medical Centre HC II,IEE9hzN2EFC,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
bySgMOvuyJ2,Abunga HC II,bySgMOvuyJ2,HC II,Government,MOH,"[33.04301,2.30099]",TibfOVehAIg,Barr Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
JryqknC2SNp,Abwoch HC II,JryqknC2SNp,HC II,Government,MOH,"[32.28180,2.70519]",hMmTuvB73LZ,Ongako Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
ak9IdtlLSjV,Abwong HC II,ak9IdtlLSjV,HC II,Government,MOH,"[32.85343,2.05885]",mhMXhrnEHGU,Abongomola Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
I2vtsfZKyVP,Acane HC II,I2vtsfZKyVP,HC II,Government,Local Government,,oslXMLLbQdv,Adwari Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
a4ZY2JtvbT2,Acea Hc HC II,a4ZY2JtvbT2,HC II,Private Not For Profit,,,oSEii1BuIbC,Nyendo-Senyange Division,bIONCoCnt3Q,Masaka District,VA90IqaI4Ji,Central Region
aaEtUWpmosm,Acet HC II,aaEtUWpmosm,HC II,Government,MOH,"[32.65478,2.68794]",acQJJL9aUo0,Odek Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
hUExMWP2C4O,Acherer HC II,hUExMWP2C4O,HC II,Government,,,JEKNYSV6wvH,Nadunget Subcounty,A9kRCvmn6Co,Moroto District,pz9Uu65Irbg,Northern Region
KgFiiUmrRxI,Acholi-Bur HC III,KgFiiUmrRxI,HC III,Government,MOH,"[32.91527,3.15405]",IcEOvr6u0b6,Acholibur Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
aKoVWgIufTx,Acholpii HC III,aKoVWgIufTx,HC III,Government,MOH,"[33.099431,2.697541]",y2tqwpJlSZd,Arum Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
DXPEWHcbZwC,Achorichor HC II,DXPEWHcbZwC,HC II,Government,Local Government,"[34.94363,1.664440]",lJWSXSCBtli,Looro Subcounty,a8RHFdF4DXL,Amudat District,pz9Uu65Irbg,Northern Region
kBCFqr2AhTe,Acii HC II,kBCFqr2AhTe,HC III,Government,MOH,"[32.63669,1.57998]",aMOfdLbimPZ,Namasale Subcounty,ZuQHWOaFQVM,Amolatar District,pz9Uu65Irbg,Northern Region
w9roqtex0ih,Acimi HC II,w9roqtex0ih,HC II,Government,MOH,"[32.25644,2.39442]",LBdhCYNiWCn,Myene Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
x4fr2px73Bq,Acokara HC II,x4fr2px73Bq,HC II,Government,MOH,"[32.63002,2.56027]",j9JRmkoveVc,Otwal Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
krIH36G6xhy,Acowa HC III,krIH36G6xhy,HC III,Government,MOH,"[33.79804,2.07524]",tfAnfdXJwCW,Acowa Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
FB9UPPYu0VI,Acumpa Medical Center Clinic,FB9UPPYu0VI,Clinic,Private For Profit,,,k7Wgi7O0JdY,Kakoba Division,auswb7JO9wY,Mbarara District,auJdpeHbeet,Western Region
wLkwoyLOOZe,Acuru HC II,wLkwoyLOOZe,HC II,Government,MOH,"[33.143829,2.809988]",pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
MJ9v2U4WWzE,Acut HCII,MJ9v2U4WWzE,HC II,Government,,,vy4wRPZvp83,Abok Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
SC1rAlJqGGu,Acute Health Care Clinic - NR,SC1rAlJqGGu,HC II,,,,oWRTyNICPdf,Nazigo Subcounty,ykxQEnZGXkj,Kayunga District,VA90IqaI4Ji,Central Region
L8aG2wV3SbE,Acwao HC II,L8aG2wV3SbE,HC II,Government,MOH,"[32.71652,1.89767]",aUF5lfBvkBv,Nambieso Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
vXlnJIdin7f,Adea HC II,vXlnJIdin7f,HC II,Government,MOH,"[33.66472,2.51721]",YeM7sYuP1xa,Morulem Subcounty,NREoMszwQZW,Abim District,pz9Uu65Irbg,Northern Region
qQ3wnUFmTck,Adigo HC II,qQ3wnUFmTck,HC II,Government,MOH,"[32.49846,2.13687]",Lg96gQU7KFN,Loro Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
FvewOonC8lS,Adilang HC III,FvewOonC8lS,HC III,Government,MOH,"[33.47525,2.74138]",FihNC5KfGJV,Adilang Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
EP9BtvXaTsa,Adjugopi HC II,EP9BtvXaTsa,HC II,Government,MOH,"[31.91107,3.44563]",AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
hvtKTUxWNrt,Adjumani   HOSPITAL,hvtKTUxWNrt,General Hospital,Government,MOH,"[31.791966,3.377464]",AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
F4phb7m6hiz,Adjumani Arra HC II GOVT,F4phb7m6hiz,HC II,Government,MOH,"[31.80194,3.52264]",xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
ufTNJh4vWF6,Adjumani Keyo HC II NGO (Closed),ufTNJh4vWF6,HC II,NGO,Local Government,"[31.83868,3.45082]",xEGUTFJd2LB,Pachara Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
aoqEF4fUP18,Adjumani Mission HC III,aoqEF4fUP18,HC III,Private Not For Profit,UCMB,"[31.782109,3.378619]",AABKGoyjpm2,Adjumani Town Council,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
UTC3IbJUl4K,Adjumani Prisons HC II,UTC3IbJUl4K,HC II,Government,Prisons,,fSyCcycKdSl,Adropi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
tdWJ67qCYZK,Adok HC II,tdWJ67qCYZK,HC II,Government,MOH,"[32.918235,1.990526]",Lo367kZNoT7,Adok Subcounty,wMQ25dybdgH,Dokolo District,pz9Uu65Irbg,Northern Region
WEH3aMvIS0B,Aduku HC IV,WEH3aMvIS0B,HC IV,Government,MOH,"[32.71821,1.99544]",a5Rsb7b0H2V,Aduku Town Council,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
YrbvkUaWpi1,Aduku Mission HC II,YrbvkUaWpi1,HC II,Private Not For Profit,UCMB,"[32.71184,1.99291]",a5Rsb7b0H2V,Aduku Town Council,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
FoJythstdxB,Aduku Road Maternity Home HC II,FoJythstdxB,HC II,Private For Profit,,,UNiDU0Y3r2i,Ojwina Division,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
H7pcxkjHX8T,Adumi HC IV,H7pcxkjHX8T,HC IV,Government,MOH,"[30.83332,3.04145]",iTWrGnwCEOJ,Adumi Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
aWtkpwtp9JE,Adventist Medical Center,aWtkpwtp9JE,HC III,Private Not For Profit,,"[32.57029,0.32553]",zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
klwx6rSe63o,Adwir HC II,klwx6rSe63o,HC II,Government,MOH,"[33.4727,2.29121]",VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
I6dPpBBTk04,Adwoki Maternity Home Clinic,I6dPpBBTk04,Clinic,Private For Profit,Local Government,,ak3LSCYUzzc,Agwata Subcounty,wMQ25dybdgH,Dokolo District,pz9Uu65Irbg,Northern Region
mbWAwq13bAp,Adyeda Barracks HC II,mbWAwq13bAp,HC II,Government,MOH,,Lg96gQU7KFN,Loro Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
z2gOui585Sl,Adyegi  HC II,z2gOui585Sl,HC II,Government,MOH,"[32.37771,2.09911]",xuuOj2eAPqb,Aber Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
b9epW1JQKWV,Aeket HC II,b9epW1JQKWV,HC II,Government,MOH,"[33.68005,2.32940]",yTUn4OdHAs4,Okungur Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
nJpOMVvfqsv,Aero Medical Center HC II,nJpOMVvfqsv,HC II,Private For Profit,Local Government,,Lg96gQU7KFN,Loro Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
aEvCseBkEDr,Afoji HC II,aEvCseBkEDr,HC II,Government,MOH,,FH7eT8hveKf,Moyo Subcounty,W0kQBddyGyh,Moyo District,pz9Uu65Irbg,Northern Region
gXiG10Hmt7w,AFYA Clinic,gXiG10Hmt7w,HC III,Private For Profit,,,HSQeFrcnn8p,Kisoro Municipality,aPhSZRinfbg,Kisoro District,auJdpeHbeet,Western Region
d8wJvZXLzrK,Afya Dispensary & M U HC II,d8wJvZXLzrK,HC II,Private For Profit,Local Government,"[30.077756,0.178694]",Lrz2RTu4m7z,Kasese Central Division,aa8xVDzSpte,Kasese District,auJdpeHbeet,Western Region
vLAcz6G3NjH,Aga Khan Acacia Clinic HC II,vLAcz6G3NjH,HC II,,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
jbatTSEbtsn,Aga Khan Bugolobi Clinic HC II,jbatTSEbtsn,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
aZC9r2VDNby,Aga Khan DTB Clinic HC II,aZC9r2VDNby,HC II,,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
cPeDqm6vYHn,Agago Obolokome HC II GOVT,cPeDqm6vYHn,HC II,Government,MOH,"[33.143829,2.809988]",pH004BIak3K,Lira Palwo Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
I9nJzN3m8qL,Agali HC III,I9nJzN3m8qL,HC III,Government,MOH,"[33.11322,2.12750]",msdmNNK8OGv,Agali Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
vQnCilUme6q,Agaliawamu Clinic,vQnCilUme6q,HC II,Private For Profit,Local Government,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
Qjo6d9XrGLZ,Aganga HC II,Qjo6d9XrGLZ,HC II,Government,MOH,"[32.18652,1.76227]",FEIP4B06TTS,Ibuje Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
GTwwxA13AfM,Agape Medical Centre,GTwwxA13AfM,HC II,Private For Profit,Local Government,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
Jap4sosMZZN,Agape Nursing Home CLINIC,Jap4sosMZZN,Clinic,Private For Profit,,"[31.76535,0.91937]",amqLFDsy2mP,Kiboga Town Council,GLHh0BXys9w,Kiboga District,VA90IqaI4Ji,Central Region
l9hCccYpw87,Agaria  HC II,l9hCccYpw87,HC II,Government,MOH,"[33.78289,1.35049]",l2rFeHo9dfd,Mukongoro Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
Qlkl4NZqpFm,Ageteraine Nursing Home,Qlkl4NZqpFm,HC II,Government,MOH,,ak477N3SWYO,South Division,m77oR1YJESj,Kabarole District,auJdpeHbeet,Western Region
PCvI4E289K1,Agirigiroi HC II,PCvI4E289K1,HC II,Government,MOH,"[33.59886,1.93492]",e1uAyULbNqU,Arapai Subcounty,srmGjHrpVE5,Soroti District,adZ6T35ve4h,Eastern Region
a8NfqlGUC18,Agojo HC II,a8NfqlGUC18,HC II,Private Not For Profit,,"[31.72344,3.42434]",xiFyzChOvlR,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
EWb0gMfNpiq,Agonga HC II,EWb0gMfNpiq,HC II,Government,MOH,"[33.58655,2.24640]",yTUn4OdHAs4,Okungur Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
S70E0FJrMtU,Agu HC III,S70E0FJrMtU,HC III,Government,MOH,"[33.72305,1.4736]",pv2sbE1glyI,Ngora Subcounty,aj4hsYK3dVm,Ngora District,adZ6T35ve4h,Eastern Region
ULxokAFLmD2,Agule Community HC III,ULxokAFLmD2,HC III,NGO,Local Government,,cdnlhhlkqJ1,Agule Subcounty,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
aMrHxMQoKXP,Agule HC III,aMrHxMQoKXP,HC III,Government,MOH,"[33.71188,1.28066]",cdnlhhlkqJ1,Agule Subcounty,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
aes9vvQi4Df,Agulurude HC III,aes9vvQi4Df,HC III,Government,MOH,"[32.6103,2.2945]",Lg96gQU7KFN,Loro Subcounty,xpIFdCMhVHG,Oyam District,pz9Uu65Irbg,Northern Region
D6wxWnyZ0vc,Agurut HC II,D6wxWnyZ0vc,HC II,Government,MOH,"[33.89529,1.46231]",Q9dlhYRxdUL,Nyero Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
sYHZIUFx50X,Agwatta HC III,sYHZIUFx50X,HC III,Government,MOH,"[33.048827,1.984366]",ak3LSCYUzzc,Agwata Subcounty,wMQ25dybdgH,Dokolo District,pz9Uu65Irbg,Northern Region
potmv2l4HbN,Ahamadiya HC III,potmv2l4HbN,HC III,Private Not For Profit,UMMB,,OltIU5j6TaY,Mbale Northern Division,yuo5ielNL7W,Mbale District,adZ6T35ve4h,Eastern Region
r4O4WMmqbS8,Ahumuza  Winnie Consultants,r4O4WMmqbS8,Clinic,Private For Profit,,,f82sIZY6sXk,Kahunge Subcounty,uCVQXAdKqL9,Kamwenge District,auJdpeHbeet,Western Region
XpJak3aZzRX,AIC Arua Main Branch CLINIC,XpJak3aZzRX,Clinic,NGO,CSO,,g4jN39Mu4K8,Oli River Division,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
ndyRWKL0fDH,AIC Jinja Main Branch,ndyRWKL0fDH,Clinic,Private Not For Profit,CSO,,dIryCQvB5SO,Jinja Central Division,aJR2ZxSH7g4,Jinja District,adZ6T35ve4h,Eastern Region
