cphl_facility_id,cphl_facility_name,dhis2_facility_name,dhis2_facility_uid,dhis2_district_uid
2552,Bihanga H/C III,Bihanga HC II,rQkhTj9VFoS,uCVQXAdKqL9
74,Bihanga H/C III (Buhweju),Bihanga HC III,Fi6rNyCYxsL,sWoNWQZ9qrD
1202,Biharwe (Nyabuhama) HC III,Biharwe (Nyabuhama) HC III,hAdnePvF54E,auswb7JO9wY
1850,Biikira H/C III,Bikira/Bikiira Maria  HC III,HXw8RJKyuDz,P8iz90eiIrW
2783,Biira HC III(NGO),Bira HC II NGO,atv0z4e9m8B,QYiQ2KqgCxj
1484,Biiso H/C III,Biiso HC III,EPMb6dGjqnz,CQTmrrriwOq
3239,Bikurungu H/C III,Bikurungu HC III,gbBl9ETEePr,tugqr4dY6wq
2763,Bileafe H/C III,Bileafe HC III,VUB4COm63ZQ,WcB3kLlgRTb
2913,Binya H/C II,Binya HC II,aGQqkkQQzXc,S5fvUXgY54J
3003,Binyiny H/C III,Binyiny HC III,aVlOVOmBP2K,h1O9AvNR4jS
3242,Bisheshe H/C III,Bisheshe HC III,iChSz9sMebA,r8WLxW9JwsS
2349,Bishop Ceaser Asili Hospital,Bishop Asili Ceaser HC IV,adofLhuj4HH,tr9XWtYsL5P
2641,Bishop Masereka H/C III,Bishop Masereka Christian Foundation HC ,aMrVtjXDAOU,aa8xVDzSpte
8236,Bisina H/CII,Bisina HC II,HhXrRF3LWHT,cSrCFjPKqcG
1274,Bison H/C III,Bison HC III,aZep2aolzmX,KhT80mlwJ3Y
80,Bitereko H/C III,Bitereko HC III,aumCjLAHfAL,FLygHiUd2UW
1074,Bitooma H/C III,Bitooma HC III,IgKXuBYXQFl,It5UGwdHAPF
1583,Biwihi H/C II,Biwihi HC II,y6p5eLimu2C,Ut0ysYGEipO
3322,Bobi H/C III,Bobi HC III,bah36yY0P6q,S5fvUXgY54J
2350,Bombo H/C III,Bombo  HC III,BQrPJsVTpud,tr9XWtYsL5P
2351,Bombo Military Hospital,Bombo General Military HOSPITAL,MH0SVcF6X2F,tr9XWtYsL5P
2722,Bondo H/C III,Bondo HC III,aLKBDY8KNaI,WcB3kLlgRTb
83,Boroboro H/C III,Boroboro HC III,aHYpuUgnA4P,Lj8t70RYnEt
2352,Bowa H/C III,Bowa HC III,aGisGCcp7Hz,tr9XWtYsL5P
3234,Bregma Medical Centre,Bregma HC II,k1Ady0jT3QS,pnTVIF5v27r
1618,Bubaare H/C III (Kabale),Bubare HC III,Lz5IMmqsLcZ,wZrfAgC3WrU
84,Bubaare H/C III (Mbarara),Bubaare HC III,uwXTH0M0m4p,auswb7JO9wY
2908,Bubalya H/C III,Bubalya HC III,acQwn1AZXQn,MtpE3CH6vq3
2805,Bubangizi H/C III,Bubangizi HC III,w9SnOvetHUQ,FLygHiUd2UW
2576,Bubeke H/C III,Bubeke HC III,ADhJXGIcCND,JrHILmtK0OU
2931,Bubukwanga H/C III,Bubukwanga HC III,tv8qMylVqWx,g8M1cWRJZV6
85,Bubulo H/C IV,Bubulo HC IV,oIYkOMu6tdP,JIZDvNlIhXS
933,Bubutu H/C III,Bubutu HC III,aCZRqIkW8s5,JIZDvNlIhXS
2268,Buchumba H/C II,Buchumba HC II,g3Jd6rCEYTc,Ut0ysYGEipO
2946,Budadiri H/C IV,Budadiri HC IV,pTrRXtAg5IR,wJ2a6YKDFZW
87,Budaka H/C IV,Budaka HC IV,aXPAwDqt65Q,kb7iUQISRlx
894,Budima H/C III,Budiima HC III,CfUwC7rnAVI,aJR2ZxSH7g4
802,Budini H/C III,Budini HC III,EYPlRLvDGxp,kJCEJnXLgnh
88,Budondo H/C IV,Budondo HC IV,BTNeWyNJanq,aJR2ZxSH7g4
3074,Bududa Hospital,Bududa Hospital,xVmiaKB3dHI,AhwgeZQYj16
2967,Budumba H/C III,Budumba HC III,BjDvpnOuxT0,MtpE3CH6vq3
3136,Budwale H/C III,Budwale HC III,tZX3IqSxAr1,yuo5ielNL7W
2984,Bufuma H/C III,Bufuma HC III,av5hBEV9k6X,AhwgeZQYj16
91,Bufumbo H/C IV,Bufumbo HC IV,zH1tLSpZuGt,yuo5ielNL7W
1565,Bufumira H/C III,Bufumira HC III,mWaRCpc5hPU,JrHILmtK0OU
3278,Bufunda H/C III,Bufunda HC III,Wmc36bI5m96,r8WLxW9JwsS
3172,Bufundi H/C III,Bufundi HC III,l9dGMGtxEOi,wZrfAgC3WrU
3103,Bufunjo H/C III,Bufunjo HC III,W4WTbuj52ZD,O9MoQcpZ4uA
1834,Bugaana H/C II,Bugana HC II,WNrSmg2aMGz,Ut0ysYGEipO
1877,Bugali H/C II,Bugali  HC II,RfYTyh0UmGQ,Ut0ysYGEipO
3000,Bugalo H/C III,Bugalo HC III,Symjhaye4Gp,MtpE3CH6vq3
2487,Bugamba H/C IV,Bugamba HC IV,cTp1LWth7hI,auswb7JO9wY
95,Bugambe H/C II (Hoima),Bugambe HC III,CRKrLT3w8EQ,PJFtfCyp6Rb
8247,Bugambe Tea H/C III,Bugambe Tea HC III,Gbjmyvee9zh,PJFtfCyp6Rb
1266,Bugangari H/C IV,Bugangari HC IV,aG2h9UI08nA,tugqr4dY6wq
859,Bugaya H/C III (Buvuma),Bugaya HC III ( Buvuma ),aVeE8JrylXn,aZLZPPjqft0
1455,Bugaya H/C III (Buyende),Buyende Bugaya HC III GOVT,ADB4cMlJP2q,F3ccON3OCsL
8249,Bugema University H/C III,Bugema HC II,hrEjabfmkqU,tr9XWtYsL5P
97,Bugembe H/C  IV,Bugembe HC IV,MmVUt93uiqa,aJR2ZxSH7g4
3046,Buginyanya H/C III (Bulambuli),Buginyanya HC III,wNIGyP5Wi4G,auLatLbcOxf
99,Bugiri Hospital,Bugiri Hospital,CNG62dd4mE1,gUaoj8Geuao
2749,Bugiri Town Council H/C II,Bugiri T/C HC II,NNIbG3x0vW4,gUaoj8Geuao
2947,Bugitimwa Govt H/C III,Bugitimwa Gvt HC III,h9EhsXtR7wl,wJ2a6YKDFZW
1959,Bugobango H/C,Bugobango HC II,a93zYnWO0cT,a3LMKP8z8Xj
100,Bugobero H/C IV,Bugobero HC IV,RTB3ZNoIDhd,JIZDvNlIhXS
3038,Bugogo H/C III,Bugogo HC II,SpjkBGXlDXd,a9tQqo1rSj7
3379,Bugoigo H/C II,Bugoigo HC II,ijHGyxnKjmz,CQTmrrriwOq
2301,Bugolobi Medical Centre,Bugolobi Medical Centre HC II,bnKRmW2sm3g,aXmBzv61LbM
2933,Bugondo H/C III,Bugondo HC III,UJJPDoh3skp,zJfpujxC1kD
3287,Bugongi H/C III,Bugongi HC III,RrvmrGFqy38,xAJgEKKAeRA
101,Bugono H/C IV,Bugono HC IV,JkMbi1FzXrX,oNxpMjveyZt
2832,Bugoto H/C II,Bugoto HC II,FICwy0lTFNW,mv4gKtY0qW8
2574,Bugoye H/C III,Bugoye HC III,aKmOqqxiDuQ,aa8xVDzSpte
886,Bugulumbya H/C III,Bugulumbya HC III,Pm7k3OLfbXA,oyygQ2STBST
3119,Buhaghura H/C III,Buhaghura HC III,PO2hM0JUIn2,aa8xVDzSpte
1287,Buhanika H/C III,Buhanika HC III,pefIQOO4szC,PJFtfCyp6Rb
3329,Buhara H/C III (Govt),Buhara HC III,aJ0CTjwNQof,zBIpPzKYFLp
2602,Buhara H/C III (NGO),Buhara (Ngo) HC III,a680eATOSPd,zBIpPzKYFLp
2842,Buhehe H/C III,Buhehe HC III,YWRtcUXBxrt,lkuO79O6mRx
2418,"Buhimba H/C III 	",Buhimba HC III,a0NjFSCY24s,PJFtfCyp6Rb
3413,Buhozi H/C III,Buhozi HC III,p3y6tUhOXnp,aPhSZRinfbg
2948,Buhugu H/C III,Buhugu HC III,UX5j31I7jpP,wJ2a6YKDFZW
8250,Buhuka H/C III,Buhuka HC II,vULcvu1i8di,PJFtfCyp6Rb
106,Buhunga H/C IV,Buhunga HC IV,LLCOrTAVtpK,tugqr4dY6wq
107,Buikwe St. Charles Lwanga HOSPITAL,Buikwe St. Charles Lwanga HOSPITAL,aClaerhXk59,x75Yh65MaUa
2419,Bujalya H/C III,Bujalya HC III,WcfbUI6UJkF,PJFtfCyp6Rb
2982,Bujubuli H/C III,Bujubuli HC III,frm9FSY7Syf,a9tQqo1rSj7
1664,Bujugu H/C III,Bujugu HC III,Ond9n3CrBxY,PJFtfCyp6Rb
2479,Bujumbura H/C III,Bujumbura HC III,DyxRfkwicX2,PJFtfCyp6Rb
1693,Bujuuko H/C III,Bujuuko HC III,pUZjhP8bvwF,YMMexeHFUay
2248,Bujwanga H/C II,Bujwanga HC II,rQ56RjtAmYQ,Ut0ysYGEipO
2398,Bukakata H/C III,Bukakata HC III,aukuvrCNcqR,bIONCoCnt3Q
2475,Bukalagi H/C III,Bukalagi  HC III,tw7g2aShrXi,lQj3yMM1lI7
2353,Bukalasa H/C III,Bukalasa HC III,va7uRTbKCoJ,tr9XWtYsL5P
3033,Bukalasi H/C III,Bukalasi HC III,Lyd040RjHYd,AhwgeZQYj16
1248,Bukanga H/C III,Bukanga HC III,edqx4oFg95R,hn1AlYtF1Pu
2870,Bukangama H/C III,Bukangama HC III,aKxaxZSbzx9,g8M1cWRJZV6
3163,Bukasa H/C II (Mpigi) ,Bukasa HC II,QH5kXc4j4T1,YMMexeHFUay
2444,Bukasa H/C IV,Bukasa HC IV,NKcfhEUaMHx,JrHILmtK0OU
1681,Bukaya H/C II,Bukaya HC II,RVSKVTxRcnF,x75Yh65MaUa
2747,Bukedea H/C IV,Bukedea HC IV,tpIyT18ybqD,tdZbtg9sZkO
2474,Bukeeri H/C III,Bukeeri HC III,aSsroXOZSIn,bIONCoCnt3Q
1490,Bukewa H/C III,Bukewa HC III,wcTUcjmdOA3,JIZDvNlIhXS
1491,Bukhabusi H/C III,Bukhabusi HC III,JiMsrQGUs6H,JIZDvNlIhXS
3068,Bukhalu H/C III,Bukhalu HC III,DeLCxOv0IDy,auLatLbcOxf
1658,Bukibokolo H/C III,Bukibokolo HC III,H713vHjaFbd,AhwgeZQYj16
2987,Bukigai H/C III,Bukigai   HC III,q52SkXKDblS,AhwgeZQYj16
3271,Bukimbiri H/C III,Bukimbiri HC III,aLRO2msaA9p,aPhSZRinfbg
113,Bukinda H/C III,Bukinda HC III,afqb57VEJp3,zBIpPzKYFLp
2502,Naluwerere H/C III,Bugiri T/C HC II,NNIbG3x0vW4,gUaoj8Geuao
1505,Bukiro H/C III,Bukiiro HC III,BF4V8LnfSsj,auswb7JO9wY
114,Bukomero H/C IV,Bukomero HC IV,aVPeLDNBucL,GLHh0BXys9w
807,Bukonte H/C III,Bukonte HC II,aPCo8FVyXXJ,esIUe2tQAtL
975,Bukoova H/C III,Bukoova HC III,d6cSq5xJr84,hn1AlYtF1Pu
3137,Bukoto H/C III,Bukoto HC III,GlyS73YI733,bIONCoCnt3Q
116,Bukulula H/C IV,Bukulula HC IV,DFuALUpGId9,ahyi8Uq4vaj
2260,Bukunga H/C III,Bukunga HC II,xbHb2porYoF,NULL
3299,Bukungu H/C II,Bukungu HC II,L63oRktfIfQ,F3ccON3OCsL
2556,Bukurungu H/C II,Bukurungu HC II,PgnmZSSRbeL,uCVQXAdKqL9
2425,Bukuuku H/C IV ,Bukuku HC IV,n8cJGH7q4QK,m77oR1YJESj
118,Bukuya H/C III,Bukuya HC III,CiNybZErM6Q,lzWuB6bCQeV
3164,Bukwo General Hospital,Bukwo General Hospital,as59xHu47PE,e8m9ZYMRoeR
2920,Bukwo H/C IV,Bukwa  HC IV,rk6HnWXzl3e,e8m9ZYMRoeR
858,Bulamagi H/C III,Bulamagi HC III,Hx3bgntGfm7,oNxpMjveyZt
120,Bulange H/C III,Bulange HC III,E0iTAuyvRrd,esIUe2tQAtL
3043,Bulangira H/C III,Bulangira HC III,YkSJ96XhKro,Oyxwe3iDqpR
1076,Bulera H/C III,Bulera HC III,archepWw0ZZ,Q7PaNIbyZII
877,Bulesa H/C III,Bulesa HC III,xbM4diuk1dB,gUaoj8Geuao
820,Bulidha H/C III,Bulidha HC III,KPoshqPMs2y,gUaoj8Geuao
121,Buliisa H/C IV,Buliisa HC IV,TEGhWFDGruu,CQTmrrriwOq
1195,Bulika H/C II,Bulika HC II,x4zVP4YLDy7,a0DfYpC2Rwl
2667,Bulo H/C III,Bulo HC III,laPnCXSZ0Oo,a3LMKP8z8Xj
935,Bulondo H/C III,Bulondo HC III,lAyJuyzL2Oj,aIahLLmtvgT
810,Bulopa H/C III,Bulopa HC III,gNdlN0CmZX2,oyygQ2STBST
2498,Buluba Hospital St Francis,Buluba HOSPITAL,O6TYEDR7sjP,mv4gKtY0qW8
2985,Bulucheke H/C III,Bulucheke HCIII,kTnTCeBN2we,AhwgeZQYj16
3052,Buluganya H/C III,Buluganya HC III,VboJZXGJBI9,auLatLbcOxf
812,Buluguyi H/C III,Buluguyi HC III,YbtIUFv6PHM,gUaoj8Geuao
2949,Bulujewa H/C III,Bulujewa HC III,D4NIfKfOjKu,wJ2a6YKDFZW
2644,Bululu H/C III,Bululu HC III,GRkqVpmzBgf,QoRZB7xc3j9
2845,Bulumbi H/C III,Bulumbi HC III,SeWJV46N6Qc,lkuO79O6mRx
